location_name,Month,TotalDevices,CENTER_ID,BldgGroupID,BldgGroupName,Group,Region
Tanger Outlets Branson,2021-03-01,30230,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-04-01,18162,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-05-01,23063,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-06-01,25212,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-07-01,34157,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-08-01,24265,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-09-01,13989,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-10-01,20605,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-11-01,27481,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Branson,2021-12-01,31358,BRANS1,BRANS1,Branson Outlet Center,Tourist Centers,South
Tanger Outlets Charleston,2019-01-01,14689,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-02-01,15553,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-03-01,21783,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-04-01,21700,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-05-01,20844,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-06-01,22852,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-07-01,23967,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-08-01,28630,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-09-01,14872,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-10-01,17337,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-11-01,23556,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
Tanger Outlets Charleston,2019-12-01,25915,CHARL1,CHARL1,Charleston Outlet Center,Blended (Tourist and Regional),South
